5 0 5 0
1 1 3 0
. . 2 1
1 0 1 0
3 0 4 0
6 1 . .
9 1 1 0
3 0 2 0
2 0 1 0
6 1 4 1
2 0 7 1
. . 4 0
4 1 3 0
2 0 1 1
3 0 3 0
1 1 1 0
2 0 3 0
0 0 0 1
. . 11 1
3 0 2 0
3 0 1 1
2 1 4 1
1 0 . .
3 0 5 0
4 0 2 0
5 0 2 0
5 0 2 1
4 0 7 1
10 1 2 1
. . 3 1
1 0 0 0
7 1 4 0
5 1 8 1
2 0 . .
1 0 1 0
5 0 3 0
4 0 . .
2 0 1 0
2 1 6 1
1 0 2 0
2 0 3 0
6 1 . .
1 1 5 1
8 1 7 1
5 0 9 1
2 1 1 0
7 0 1 0
6 0 1 0
3 0 4 1
. . 1 1
3 0 1 1
2 0 7 1
1 0 2 0
6 0 8 1
2 1 1 0
2 1 3 0
3 0 . .
5 0 4 0
2 0 1 0
9 0 0 0
3 0 5 1
4 1 9 0
1 0 . .
3 1 3 1
2 0 1 0
. . 12 1
1 0 1 0
4 0 4 0
6 1 4 0
7 1 4 1
1 0 2 0
3 0 2 1
0 0 10 1
1 0 7 0
0 0 1 0
2 0 2 0
11 0 4 1
3 0 3 1
2 1 1 0
1 1 2 1
. . 1 0
3 0 1 0
6 0 . .
4 1 3 0
3 0 2 0
7 0 11 1
4 0 2 0
2 0 2 0
3 1 1 0
2 0 1 0
2 0 1 0
1 0 4 0
4 1 2 0
2 0 1 1
3 1 10 1
6 0 . .
1 1 4 1
1 0 1 0
1 0 5 0
12 1 1 0
2 0 2 0
1 0 4 1
4 0 3 0
12 1 6 1
7 0 4 1
1 0 7 1
1 0 3 1
4 0 2 0
2 0 1 0
0 0 1 0
1 0 1 0
3 0 2 0
3 0 6 0
2 0 2 1
3 0 6 0
2 0 3 0
9 1 9 0
2 0 2 0
1 0 10 1
6 0 1 0
2 0 . .
11 1 1 1
. . 1 0
5 1 5 0
4 1 2 0
3 0 1 0
2 1 2 1
8 0 8 1
2 0 2 0
. . 7 1
4 1 . .
5 1 3 1
. . 2 0
1 0 . .
1 0 3 1
2 0 1 0
. . 7 1
0 0 5 0
3 0 1 1
0 0 1 0
1 0 1 0
6 0 . .
2 0 . .
7 1 2 0
5 1 10 1
. . 10 0
5 0 . .
2 1 1 0
1 1 5 1
2 0 . .
1 0 1 0
1 0 4 1
1 0 . .
3 0 8 0
3 0 2 1
. . 12 1
2 0 2 0
4 0 0 0
1 1 . .
. . 1 1
7 1 2 0
1 0 3 0
4 1 2 0
4 0 9 1
1 0 . .
7 0 . .
10 1 3 1
2 0 . .
8 1 4 1
1 0 1 0
7 1 3 0
. . 6 0
1 0 4 0
. . 7 0
2 0 7 0
2 0 3 0
5 1 5 0
1 0 7 1
1 0 10 1
2 0 3 0
3 0 3 1
4 1 1 1
2 0 1 0
3 0 9 1
11 0 10 0
2 0 . .
8 0 . .
9 1 . .
7 1 5 1
2 0 3 0
3 0 2 0
3 1 12 1
6 1 1 0
1 0 2 1
1 0 9 1
4 0 8 0
5 1 . .
2 0 5 1
3 0 2 1
. . 1 0
4 0 4 0
7 0 7 0
. . 1 0
11 1 1 0
1 1 3 0
1 0 3 0
1 1 1 0
3 0 1 0
. . 3 0
5 0 1 0
2 0 . .
6 0 2 1
4 0 . .
1 0 3 1
2 0 1 0
2 1 4 0
6 0 4 1
3 0 6 0
4 1 4 0
4 0 2 0
1 0 1 0
. . 1 0
3 0 4 0
1 0 . .
4 0 4 0
1 0 1 0
7 0 1 0
3 1 1 0
2 0 . .
5 0 6 1
3 1 2 1
2 1 1 0
3 0 2 0
5 0 3 0
2 0 12 1
1 1 4 1
1 0 . .
. . 5 1
1 0 . .
4 1 8 1
1 0 . .
. . 1 0
4 1 3 1
7 0 . .
3 1 3 0
2 0 2 0
. . 8 1
1 0 9 1
10 1 3 1
. . 2 0
4 0 1 0
4 0 4 1
3 0 2 0
1 0 10 1
4 0 2 1
. . 0 0
3 1 10 1
2 0 7 1
5 0 3 1
. . 10 1
1 0 4 0
2 1 . .
4 0 6 1
4 1 8 0
6 0 2 0
4 0 4 0
1 0 1 0
3 0 0 0
6 0 . .
1 1 1 0
. . 8 1
. . 1 0
5 0 1 0
2 0 2 1
2 0 1 0
2 1 3 1
2 1 . .
2 1 1 0
0 0 1 0
5 1 2 0
6 0 11 1
. . 4 1
1 0 1 0
1 1 2 0
9 0 5 1
12 0 3 1
2 1 6 1
3 0 6 1
1 0 2 0
2 1 3 1
1 0 1 0
3 1 1 0
1 0 3 0
1 0 5 0
5 0 9 0
1 0 3 0
1 0 . .
3 0 7 1
4 1 2 1
10 1 1 0
1 0 1 1
. . 9 1
1 0 7 1
2 0 9 1
4 1 . .
2 0 1 0
. . 2 1
3 0 4 0
6 0 4 0
0 0 5 0
4 1 7 1
3 1 . .
. . 1 1
6 0 0 0
. . 5 0
2 0 . .
1 0 0 0
. . 1 1
3 0 4 0
1 0 3 0
4 1 2 1
. . 4 0
1 0 2 0
0 0 6 1
4 0 2 0
2 1 1 1
1 1 . .
3 1 1 1
1 0 2 1
2 0 7 0
8 0 2 0
6 0 4 0
3 1 4 0
2 0 2 0
4 0 4 0
. . 2 0
3 0 . .
3 0 5 0
5 0 . .
1 0 . .
3 1 3 0
4 1 2 0
4 1 1 1
4 0 . .
9 0 5 1
1 1 3 1
4 0 1 0
2 0 2 0
3 1 1 1
3 1 3 0
. . 4 1
2 0 5 1
1 1 3 0
4 0 7 0
3 0 3 1
2 1 1 0
. . 3 0
1 0 1 0
1 1 6 1
9 0 . .
2 0 1 0
2 0 3 1
3 0 1 0
3 1 7 0
4 0 2 0
4 0 9 1
1 0 2 0
1 0 2 1
1 0 . .
2 0 2 0
1 1 2 1
. . 1 0
4 1 0 1
1 0 2 0
2 1 6 1
3 0 . .
1 0 2 1
4 0 6 1
. . 5 0
2 1 4 0
. . 7 1
1 0 1 0
1 0 4 0
6 0 3 0
7 0 8 1
. . 2 1
10 0 1 0
1 0 7 0
2 1 3 0
1 0 . .
6 1 . .
7 0 . .
1 0 4 0
3 0 2 1
4 1 . .
3 1 4 1
4 0 6 1
2 0 4 0
3 1 3 0
0 0 1 1
3 0 3 1
3 0 9 0
1 0 1 1
1 1 1 0
5 0 9 1
4 1 2 1
6 0 3 0
1 0 1 0
0 0 6 1
1 0 2 1
4 0 10 0
. . 4 0
2 0 7 0
. . 1 0
. . 3 1
6 0 3 0
4 0 11 1
2 0 1 0
1 0 3 0
4 0 1 0
2 0 1 0
1 1 2 0
4 1 2 1
. . 4 0
