"z1" "z2" "z3" "z4" "z5"
6.83119693849121 "0" -0.0646517350808429 "2" "2"
8.77444665336781 "0" 2.89825716859475 "2" "1"
8.01371013702998 "0" 2.54711423445247 "1" "2"
8.99948490860849 "1" 2.90780426049901 "2" "2"
8.51814129793831 "0" 3.45179162292569 "1" "0"
8.26577208646916 "0" 1.82747808008717 "1" "2"
6.94565223169051 "0" 0.579017986599279 "0" "0"
6.72595134208995 "0" 2.53541080399445 "1" "2"
7.80983046196645 "0" 1.2360617078024 "0" "2"
7.53993832579414 "0" 3.88672602626301 "3" "1"
8.2805953733183 "0" 2.61620253067248 "3" "2"
6.2029928811327 "1" 1.16795327682557 "1" "2"
9.83487215352373 "1" 3.00873734056441 "3" "2"
9.6450355760717 "1" 2.55160729323751 "3" "2"
8.34309053085065 "1" 3.05221548711948 "3" "2"
8.29975693576562 "0" 1.85871116415821 "0" "2"
6.62911449679792 "0" 1.28508076676458 "0" "2"
7.1003939493493 "0" 1.77762770110332 "1" "2"
8.33945723231081 "0" 2.86651710568457 "2" "2"
7.4988706076425 "0" 1.17349328806342 "0" "1"
6.17893613243205 "0" 1.04014077180117 "1" "2"
8.32739888529435 "0" 1.26970541632913 "3" "2"
7.50930156041639 "0" 2.92304417728714 "2" "0"
8.50428719683978 "0" 3.79781399336239 "3" "0"
7.79499974741841 "0" 1.55622129042274 "2" "2"
7.83861219336349 "0" 3.22677312492473 "3" "2"
6.8284937799461 "0" 1.76300754951167 "0" "2"
5.65487953055562 "0" 0.107452668438107 "0" "2"
9.07357264013932 "1" 3.11559001856182 "3" "2"
9.28711237421743 "1" 1.63239504073028 "0" "2"
8.19602412445763 "1" 2.29514158356792 "0" "2"
7.81939603753998 "1" 3.09302530010602 "0" "2"
9.01603529735444 "1" 3.09405601549766 "2" "2"
6.12701417199712 "1" 1.80624832811989 "0" "2"
8.11049558358424 "1" 1.19756123653667 "0" "2"
9.14708825033477 "1" 1.53592763700884 "2" "2"
7.34915541375827 "0" 1.25409840715254 "0" "0"
8.44266702719682 "0" 2.7512314129959 "0" "2"
8.82886825989131 "1" 2.8534951367502 "3" "0"
8.5389443001201 "0" 2.15809724569252 "0" "2"
7.83708242802864 "0" 1.29362979010304 "0" "2"
8.69708409400713 "1" 3.25187554498949 "3" "2"
8.79110188865491 "1" 3.78512567197548 "3" "2"
8.31949055984228 "1" 2.40501543220405 "2" "2"
6.94584407370934 "1" 1.87139920986745 "3" "0"
7.29579434800542 "0" 0.41925568080611 "0" "1"
5.93772216307188 "0" 1.31462671010902 "0" "1"
7.60312911948016 "0" 1.70166576328616 "0" "2"
7.97239140277255 "1" 1.58457324787843 "0" "2"
7.85196793116771 "0" 1.70031056024882 "1" "2"
8.30293116179819 "0" 1.7837156892294 "0" "2"
8.13879480881924 "1" 3.52121790417954 "2" "2"
6.01401261331907 "0" -0.0705601796925746 "0" "0"
7.21981154302762 "0" 2.87334697719997 "0" "1"
8.92531545322123 "1" 2.99296207714138 "3" "2"
7.5077928166199 "1" 3.49605549989508 "2" "2"
8.29785966269014 "0" 1.66215464203807 "1" "0"
8.52867014166429 "1" 2.03764756840904 "2" "2"
7.74506577864677 "0" 2.1330965332834 "2" "2"
6.93047406939986 "0" 1.48974060901204 "1" "2"
8.03305571474602 "1" 3.79191239747142 "1" "2"
4.54811887340806 "0" -0.107534273491182 "2" "1"
8.12441229207237 "1" 3.64479409800247 "1" "2"
8.3705961300587 "1" 2.39157058761603 "2" "1"
8.09339338343156 "0" 0.907189753538187 "0" "0"
6.63651379775925 "0" 2.00060302921084 "1" "0"
6.56699597537275 "0" 1.68683792113341 "1" "2"
7.32606513583423 "1" 2.090960019355 "0" "1"
8.31449266935487 "0" 1.37093334740159 "0" "2"
8.33702111725265 "0" 2.11855299010396 "1" "2"
10.064734870793 "0" 1.01765506655147 "3" "2"
6.55594211586337 "1" 1.01117025733877 "1" "2"
6.03831833581975 "0" 2.87886000406395 "0" "0"
8.35730516472977 "0" 1.92789361051708 "1" "2"
6.92331352478635 "1" 1.65152692468601 "2" "2"
8.83598497779201 "0" 2.54663282289471 "1" "0"
8.17217194202742 "0" 1.97398834337571 "0" "2"
9.0870334021456 "1" 3.31525219706029 "3" "2"
8.07982112300472 "1" 1.12663356276365 "2" "0"
7.80041015160068 "1" 1.70291812924042 "1" "2"
8.01360829540593 "1" 2.00349963468575 "3" "2"
8.03966068925167 "0" 0.68101050594247 "0" "2"
8.37118460182182 "1" 0.604794757583601 "1" "1"
7.06246164494108 "0" 0.835641076242426 "1" "0"
7.23702932017178 "1" -0.900961603412539 "2" "1"
6.29347165650817 "0" 1.33900581704222 "0" "0"
9.14605291342009 "1" 3.49134139922472 "2" "2"
7.1858788315952 "0" 1.23524086002823 "1" "2"
9.08610304097696 "1" 3.21247635116208 "2" "2"
7.69686841381113 "0" 1.25120178080223 "2" "0"
8.36089589233891 "1" 2.45067385951567 "3" "2"
8.89708022903557 "0" 2.78933365982724 "1" "2"
9.29605967932574 "1" 2.28321849016185 "0" "1"
7.11988127529788 "0" 2.00259455731558 "2" "2"
7.82819114865961 "0" 0.815811180266201 "0" "0"
8.18023284510712 "1" 1.07273230687763 "1" "2"
7.77703516849374 "1" 2.7334334623146 "3" "2"
7.06059641793791 "0" 1.85254252949607 "0" "2"
6.9266565116314 "0" 0.862261055428597 "1" "2"
8.1960827881986 "1" 2.36438092940558 "2" "2"
8.12375101082079 "0" 2.19175051182614 "0" "0"
8.47254917336508 "1" 3.35433557765184 "2" "1"
6.59194780229216 "0" 0.987209264934114 "0" "2"
8.40784662597839 "1" 3.25042341724138 "0" "2"
6.84800912561309 "0" 2.19496850757113 "0" "0"
7.88909807659312 "1" 1.60991266482043 "0" "0"
6.88010953088362 "1" 2.07970048798915 "3" "0"
8.90360665066118 "0" 2.82574810806462 "2" "2"
10.0069490691463 "1" 2.58142073199692 "2" "0"
8.68603616419909 "0" 1.47550769896526 "0" "1"
8.61544791414778 "1" 2.72834400906765 "1" "2"
7.70461553386976 "1" 1.72583327028647 "1" "1"
7.57813830481847 "1" 1.66572093179427 "1" "2"
6.39602403871367 "0" 1.64678664613427 "0" "2"
8.29035351230886 "0" 3.42880443648665 "2" "2"
6.44101219139909 "1" 3.4496887275443 "2" "2"
7.47226388435758 "0" 0.39253552841702 "0" "0"
8.02111712261412 "0" 2.84344571860448 "3" "2"
6.7917525548846 "1" 1.27034232572011 "1" "2"
8.93055617193447 "0" 1.97853792385905 "2" "2"
8.99955920735092 "1" 3.17101247042035 "0" "2"
6.77985245621224 "0" 0.541716853032226 "0" "2"
7.95801690023587 "0" 0.994291415426198 "2" "2"
8.36326789666694 "1" 1.21783787785829 "1" "0"
8.65705139198643 "0" 1.62236950741853 "2" "1"
8.112394130179 "1" 2.00264387360061 "2" "2"
7.0633609875464 "1" 1.81682183349185 "2" "1"
7.82897185899073 "0" 0.939209007000833 "0" "0"
8.22637229837809 "0" 1.62169156552952 "0" "1"
6.13990801595568 "0" 1.78612723958405 "1" "2"
10.246567249799 "1" 2.37989809673428 "2" "2"
9.56279529992802 "1" 2.47991088458495 "3" "0"
9.72689612667689 "1" 1.67774286080382 "0" "2"
7.10639890507838 "0" 2.03499952277865 "0" "0"
9.19402542169687 "1" 3.10330352225903 "2" "2"
7.20558467498924 "0" 1.6647612797584 "0" "2"
8.7212925999125 "1" 2.36216878241978 "0" "2"
7.02027979303682 "1" 2.94948739255443 "1" "0"
9.11424646881967 "0" 2.74941307283181 "1" "1"
9.19681699773791 "0" 3.19704715213508 "0" "1"
8.31298930787642 "1" 2.36631388258511 "0" "2"
7.79674217063995 "0" 0.865176738800695 "0" "1"
8.7959831185391 "0" 2.70620193921089 "2" "2"
6.61436989637392 "1" 2.38219375737095 "0" "2"
9.45326580662004 "1" 3.81427188062844 "2" "1"
