'a' 'b' 'c' 'd' 'e' 'f' 'g' 'h' 'i' 'j' 'k' 'l'
1086.130 -277.5176 -126.8347 -99.50653 369.7531 -129.1616 -39.47687 -23.394 313.7517 -440.1843 17.31180 21.22589
-277.5176 1327.549 -377.133 -284.0415 -143.4555 291.6948 -106.4732 -39.43541 -120.2114 948.0875 49.461 47.1702
-126.8347 -377.133 784.8258 -286.6306 21.00255 107.3417 238.6940 -183.0822 -32.36516 -338.6004 -123.6532 117.9243
-99.50653 -284.0415 -286.6306 675.7525 50.01686 211.1482 -145.2213 127.5371 -16.64423 -135.4423 49.46125 -235.8488
369.7531 -143.4555 21.00255 50.01686 1240.807 -475.5661 -122.6584 -59.54273 28.30585 10.42578 -55.55364 -33.73774
-129.1616 291.6948 107.3417 211.1482 -475.5661 1023.976 -370.7147 -152.2707 -10.84515 -22.45549 -158.7206 -74.9752
-39.47687 -106.4732 238.6940 -145.2213 -122.6584 -370.7147 1015.006 -246.3743 -2.919899 8.019764 396.8037 -187.4360
-23.394 -39.43541 -183.0822 127.5371 -59.54273 -152.2707 -246.3743 872.038 -1.501598 3.207956 -158.7214 374.8724
313.7517 -120.2114 -32.36516 -16.64423 28.30585 -10.84515 -2.919899 -1.501598 1436.186 210.8286 15.28248 4.041713
-440.1843 948.0875 -338.6004 -135.4423 10.42578 -22.45549 8.019764 3.207956 210.8286 978.0416 124.7485 19.96039
17.31180 49.461 -123.6532 49.46125 -55.55364 -158.7206 396.8037 -158.7214 15.28248 124.7485 779.687 124.7498
21.22589 47.1702 117.9243 -235.8488 -33.73774 -74.9752 -187.4360 374.8724 4.041713 19.96039 124.7498 499.0001
